date,expinf5yr,unrate,nrou,core_pce,mich,gdp,job_openings,median_cpi,FRB_exp,core_pce_changeA,unrate_slack,FRB_post1991,lagged_1,lagged_2,predicted_1980_2019,predicted_1970_2019
1994-11-01,3.8060235,5.6,5.431291000000001,68.282,3.2,7455.288,NA,4.39209057745666,3.1,2.3055863429479295,0.1687089999999989,3.1,2.197785788600015,2.888467074544998,2.4448164742028182,2.68807967693322
1995-02-01,3.7985512,5.4,5.420172,68.587,3,7522.289,NA,3.3376345207508904,2.9,1.7987149732821672,-0.020171999999999635,2.9,2.3055863429479295,2.197785788600015,2.266864589415604,2.4418281217679922
1995-05-01,3.3939611,5.6,5.409451484680176,69.032,3,7580.997,NA,3.5594625767825896,2.95,2.62061076491662,0.19054851531982386,2.95,1.7987149732821672,2.3055863429479295,2.2642598226718,2.275686371190832
1995-08-01,3.2087773,5.7,5.399091,69.367,2.9,7683.125,NA,2.94234945083716,2.8,1.9553044488102023,0.30090899999999987,2.8,2.62061076491662,1.7987149732821672,2.1733126806116374,2.347503184778556
1995-11-01,3.0260705,5.6,5.38905,69.672,2.8,7772.586,NA,2.66922899078137,2.6,1.7703950656133394,0.21094999999999953,2.6,1.9553044488102023,2.62061076491662,2.1120630659001796,2.3341632343909784
1996-02-01,2.8735922,5.5,5.379276,69.94,2.8,7868.468,NA,2.6189607116124103,2.6,1.5475387564713783,0.12072400000000005,2.6,1.7703950656133394,1.9553044488102023,2.0263061724749467,2.0363170640881676
1996-05-01,3.2939379,5.6,5.369709491729736,70.319,3.1,8032.84,NA,2.9377900582841403,2.6,2.1852548260530513,0.23029050827026332,2.6,1.5475387564713783,1.7703950656133394,1.9852978260986074,1.8709317563387247
1996-08-01,3.2714208,5.1,5.360292434692383,70.566,3.1,8131.408,NA,2.3215009912297,2.6,1.4124458835549802,-0.26029243469238317,2.6,2.1852548260530513,1.5475387564713783,2.0231268730838385,2.0970709274497104
1996-11-01,3.201551,5.4,5.350973606109619,71.041,3,8259.771,NA,3.4965341186496497,2.6,2.7198231475689782,0.049026393890381215,2.6,1.4124458835549802,2.1852548260530513,2.0308667391218633,1.990424955176409
1997-02-01,3.2410933,5.2,5.341696,71.29,3,8362.655,NA,2.34294951187677,2.6,1.4093956222013704,-0.1416959999999996,2.6,2.7198231475689782,1.4124458835549802,2.03982921791101,2.23876785423324
