date,core_non_housing_services,market_based_non_housing_services
2010-11-01,86.41437313167674,88.96020738112182
2010-12-01,86.45489560576074,89.01934994209546
2011-01-01,86.66221196932689,89.12644988945792
2011-02-01,86.82859307209198,89.36541549276672
2011-03-01,87.04876031767918,89.60028279111933
2011-04-01,87.27203057382538,89.81832653300843
2011-05-01,87.52021706395395,90.06012791608804
2011-06-01,87.59206112617,90.1849673389359
2011-07-01,87.73387387251562,90.32966355767027
2011-08-01,87.93761586398652,90.56810897857923
2011-09-01,88.04107462672671,90.73296051301055
2011-10-01,88.01567161857712,90.8170110448843
2011-11-01,88.23660351000498,90.95419130920068
2011-12-01,88.43842481750566,91.22005516423346
2012-01-01,88.7800654596454,91.36270373128623
2012-02-01,88.9693607757481,91.52562276105695
2012-03-01,89.12910247382547,91.62006153832013
2012-04-01,89.32418447283935,91.77178634504295
2012-05-01,89.45592928803629,91.94278842569254
2012-06-01,89.62832179502354,92.146313859858
2012-07-01,89.74344141907068,92.20266426810846
2012-08-01,89.86582990524349,92.37255581856911
2012-09-01,89.97761095696167,92.48535033824112
2012-10-01,90.25911539474974,92.60820805470146
2012-11-01,90.39234213447347,92.70648589627702
2012-12-01,90.53136796979388,92.90295765227633
2013-01-01,90.75896548488753,93.124315347416
2013-02-01,90.92511029209763,93.32009286984496
2013-03-01,91.10645025660111,93.4268831286312
2013-04-01,91.16494758870003,93.29915295828192
2013-05-01,91.33710764213106,93.5106748091309
2013-06-01,91.5495376962593,93.7634827833045
2013-07-01,91.7220790557031,93.9330067499127
2013-08-01,91.86017491136556,93.96482520601772
2013-09-01,92.01496826177232,94.14770901529066
2013-10-01,92.24336304844522,94.26043753826148
2013-11-01,92.4548655546619,94.39891430301113
2013-12-01,92.62310058409317,94.58568071999807
2014-01-01,92.76092129415156,94.67913758259964
2014-02-01,92.8262222170371,94.77367297145301
2014-03-01,93.03733274327492,95.11277749999743
2014-04-01,93.23640035346811,95.12191667312646
2014-05-01,93.45739465831231,95.32989518074372
2014-06-01,93.54880660100677,95.38505172526392
2014-07-01,93.7510147396804,95.555116780097
2014-08-01,93.84626781004806,95.64108214736726
2014-09-01,93.96566536037936,95.7090226127042
2014-10-01,94.03426811628403,95.63059196189938
2014-11-01,94.22232483528295,95.76422711844283
2014-12-01,94.3590453444878,95.93208956097652
2015-01-01,94.32971972931271,95.86034215460057
2015-02-01,94.38145177135469,95.91307810574419
2015-03-01,94.5228650508937,95.98719915492791
2015-04-01,94.70182739124358,96.14972821905711
2015-05-01,94.84422734964302,96.16999588270598
2015-06-01,95.01472038778732,96.27458785680071
2015-07-01,95.15272454038868,96.43447643941855
2015-08-01,95.28350041137747,96.49671536896784
2015-09-01,95.38740915138732,96.65125038035826
2015-10-01,95.44743794859033,96.68030890951901
2015-11-01,95.59465663289346,96.76291936928405
2015-12-01,95.6852364840762,96.765404753584
2016-01-01,95.93602707742585,96.88378395240807
2016-02-01,96.0939045482533,97.04034470984247
2016-03-01,96.30648296639541,97.18699036340509
2016-04-01,96.54024362890256,97.2827236040748
2016-05-01,96.80764966970531,97.55377783168618
2016-06-01,96.9882673030255,97.7434459121042
2016-07-01,97.20693901256496,97.99597522177062
2016-08-01,97.38353438641337,98.07957285334687
2016-09-01,97.44808793153835,98.10869315683179
2016-10-01,97.61645384642952,98.19218324082252
2016-11-01,97.77563157183575,98.34748540038107
2016-12-01,97.9530433790732,98.5475438291184
2017-01-01,98.21807936813677,98.72795250828368
2017-02-01,98.40534645539577,98.87785790651708
2017-03-01,98.31699217486342,98.66953340210445
2017-04-01,98.64850180177795,98.90075269895344
2017-05-01,98.8084348427722,99.00315687562512
2017-06-01,98.9731045431398,99.16965394214434
2017-07-01,99.02563783063056,99.10309028525867
2017-08-01,99.18729556659703,99.26018430500743
2017-09-01,99.4011128072189,99.45427960403914
2017-10-01,99.65264054581661,99.77537891648126
2017-11-01,99.79498330438004,99.882643842533
2017-12-01,100,100
2018-01-01,100.31999206655156,100.09909718369839
2018-02-01,100.58326630274827,100.44278002706265
2018-03-01,100.85515715081412,100.73992584803128
2018-04-01,100.99660718968612,100.87049095287443
2018-05-01,101.22155711199399,101.11783736919308
2018-06-01,101.42345815909943,101.22421430201284
2018-07-01,101.60983534949078,101.38278662032411
2018-08-01,101.71165423418111,101.46822592958631
2018-09-01,101.974085521248,101.59560184918607
2018-10-01,102.11602872019996,101.71628527985307
2018-11-01,102.34147160630614,101.99258123490671
2018-12-01,102.63744179239124,102.31685854291865
2019-01-01,102.67429248260073,102.3698002912426
2019-02-01,102.80893271706223,102.45550331765473
2019-03-01,102.922959545568,102.54393345271468
2019-04-01,103.21588962118535,102.80248711400793
2019-05-01,103.30072917029274,102.84420761179408
2019-06-01,103.48820809708677,102.94109208250688
2019-07-01,103.70172180382451,103.15362073096306
2019-08-01,103.79334139330093,103.24930141313412
2019-09-01,103.91183622504911,103.35118218330975
2019-10-01,104.12138597539912,103.5975312978447
2019-11-01,104.16030860986523,103.71030967646048
2019-12-01,104.5224913190978,103.98494744694132
2020-01-01,104.74868994373894,104.15997690403461
2020-02-01,104.93572028675831,104.36403274879062
2020-03-01,104.86369348099335,104.39760668683621
2020-04-01,104.46958423508498,104.32834207387045
2020-05-01,104.74327637951102,104.59618798520681
2020-06-01,105.00574560787426,104.79413222336957
2020-07-01,105.35692650075539,104.9183898099364
2020-08-01,105.59144000968845,105.11809352667963
2020-09-01,105.9631344119742,105.47242162102806
2020-10-01,106.07421782140591,105.55255240846988
2020-11-01,106.12316733663512,105.58245820023964
2020-12-01,106.66039588214515,105.85523189274738
2021-01-01,107.12492712714715,105.96542090881736
2021-02-01,107.55437103304949,106.50794494061203
2021-03-01,108.22254097180654,107.12094206946236
2021-04-01,108.681208585084,107.47593237432503
2021-05-01,109.10545477195441,107.74941691178638
2021-06-01,109.55579555592657,108.09869980347749
2021-07-01,110.1489483689647,108.71274998065144
2021-08-01,110.40391826028629,108.83496191473502
2021-09-01,110.64994938660872,108.99454489524733
2021-10-01,110.9695132920577,109.4635957020495
2021-11-01,111.56603291563313,109.98453144837273
2021-12-01,112.25577918851292,110.52104557202661
2022-01-01,112.5379944604728,110.8891538760336
2022-02-01,112.92586686753259,111.3944034583755
2022-03-01,113.56751630189301,112.09689677194393
2022-04-01,113.99288164152371,112.4717015906758
2022-05-01,114.32108886551126,112.9475866698859
2022-06-01,114.89117860847843,113.68162328454095
2022-07-01,115.06044965413273,113.90198421818312
2022-08-01,115.59310762236875,114.32349714492648
2022-09-01,116.14965231450333,114.8186308903279
2022-10-01,116.69574032638451,115.34562025141787
2022-11-01,117.16909712597595,115.56857942207985
2022-12-01,117.69627142460519,116.10031927717044
2023-01-01,118.26937435898365,116.61065289808337
2023-02-01,118.6978480271118,117.00115779129669
2023-03-01,119.09097877796728,117.3353253159905
2023-04-01,119.46785783557512,117.61149217087203
2023-05-01,119.69110699115167,117.83561589011987
2023-06-01,119.9734982598153,117.95622047185107
2023-07-01,120.32654890503841,118.37350500619223
2023-08-01,120.40260642304382,118.37034687218295
2023-09-01,120.97105199858596,118.9525059953739
2023-10-01,121.10353721148324,119.22858307841375
2023-11-01,121.27322611710355,119.58653990519865
2023-12-01,121.61771941047306,119.88996299778724
